feature,mean_abs_shap
gpu_sm_util__mean,0.09074147098301602
gpu_sm_util__vol_max,0.08846264736398826
gpu_temp_c__min,0.0823927726809084
gpu_temp_c__range,0.07801905783421803
gpu_power_w__max,0.06612865506709026
gpu_power_w__range,0.06298880138381581
gpu_temp_c__max,0.06163249016096248
gpu_power_w__min,0.060345472575522315
gpu_power_w__vol_max,0.054240015729529016
gpu_sm_util__range,0.0528922634819455
gpu_temp_c__spike_count,0.04572202787415043
gpu_sm_util__min,0.0447380080483017
nvlink_crc_rate__vol_max,0.041738790942236405
pcie_aer_rate__vol_max,0.03243402881645817
gpu_temp_c__ac1,0.03084813711369543
gpu_power_w__spike_count,0.030532280929829604
gpu_power_w__mean,0.02930371311991686
nvlink_crc_rate__spike_count,0.02836509529276052
nvlink_crc_rate__std,0.02804404551459553
gpu_sm_util__max,0.02672751619894633
nvlink_crc_rate__max,0.02599332497863959
gpu_temp_c__vol_max,0.025576596529725406
gpu_temp_c__mean,0.024520762222899357
ecc_corrected_rate__spike_count,0.021532450241604134
ecc_corrected_rate__slope,0.021404474478664358
ecc_corrected_rate__vol_max,0.020787478832372266
gpu_sm_util__ac1,0.01987311695850349
gpu_power_w__ac1,0.018699903356226906
nvlink_crc_rate__slope,0.018242567975553098
pcie_aer_rate__std,0.017271525195422757
gpu_power_w__std,0.01726092093439209
gpu_sm_util__std,0.016510448303440402
gpu_temp_c__std,0.0163783865060693
nvlink_crc_rate__mean,0.016059014374182393
gpu_temp_c__slope,0.01568804931612332
gpu_power_w__slope,0.015342830130459364
ecc_corrected_rate__std,0.0148233612177154
pcie_aer_rate__slope,0.013503307257984057
nvlink_crc_rate__ac1,0.012236175324854742
pcie_aer_rate__spike_count,0.012076539142406315
ecc_corrected_rate__ac1,0.011596136256112112
gpu_sm_util__spike_count,0.011378188029803987
pcie_aer_rate__ac1,0.009986273762413362
gpu_power_w__last,0.00984275466191045
gpu_sm_util__last,0.008412111256432063
pcie_aer_rate__mean,0.008385790471173531
gpu_sm_util__slope,0.006026022121742923
gpu_temp_c__last,0.005784060501464752
ecc_corrected_rate__mean,0.004664693341116113
ecc_corrected_rate__max,0.0018498303955548812
nvlink_crc_rate__last,0.0012814893062830068
ecc_corrected_rate__range,0.0
nvlink_crc_rate__range,0.0
nvlink_crc_rate__min,0.0
pcie_aer_rate__min,0.0
pcie_aer_rate__max,0.0
pcie_aer_rate__range,0.0
ecc_corrected_rate__min,0.0
ecc_corrected_rate__last,0.0
pcie_aer_rate__last,0.0
